StartVisible,EndVisible,ViewTime,animationName
1366646715470,1366646724697,9227,watchingTV
1366646752510,1366646764635,12125,watchingTV
1366646888160,1366646892410,4250,watchingTV
1366646900868,1366646907942,7074,watchingTV
1366646924493,1366646930499,6006,watchingTV
1366646934185,1366646941735,7550,onComputer
1366646945605,1366646950503,4898,bicycling
1366646951722,1366647389511,437789,basketball
1366647402914,1366647410851,7937,bicycling
1366647416700,1366647420718,4018,inBed
1366647425818,1366647430649,4831,running
1366647435691,1366647470921,35230,basketball
1366647475073,1366647476997,1924,inBed
1366647482193,1366647489643,7450,bicycling
1366647491697,1366647495500,3803,watchingTV
1366647515211,1366647516275,1064,watchingTV
1366647519580,1366647522743,3163,inBed
1366647526377,1366647712924,186547,basketball
1366647725740,1366647732659,6919,running
1366647736551,1366647737458,907,watchingTV
1366647740579,1366647742262,1683,watchingTV
1366647743980,1366647748248,4268,bicycling
1366647751672,1366647754527,2855,inBed
1366647759176,1366647846213,87037,bicycling
1366647856100,1366647862916,6816,bicycling
1366647866437,1366648082987,216550,watchingTV
1366648083022,1366648259808,176786,inBed
1366648260945,1366648261791,846,watchingTV
1366648265850,1366648267831,1981,watchingTV
1366648299183,1366648320379,21196,bicycling
1366648322571,1366648323727,1156,watchingTV
1366648330738,1366648334092,3354,inBed
1366648336827,1366648340540,3713,watchingTV
1366648341617,1366648346512,4895,running
1366648346694,1366648362435,15741,bicycling
1366648364811,1366648365451,640,watchingTV
1366648375318,1366648377757,2439,inBed
1366648380497,1366648386766,6269,running
1366648783246,1366648809842,26596,bicycling
1366648811732,1366648814964,3232,watchingTV
1366648816451,1366648820662,4211,basketball
1366648822079,1366648837558,15479,basketball
1366648852482,1366648854869,2387,watchingTV
1366648854907,1366648864302,9395,running
1366648865496,1366648910408,44912,running
1366649001516,1366649007316,5800,bicycling
1366649016346,1366649020686,4340,watchingTV
1366649021408,1366649033200,11792,bicycling
1366649051601,1366649053644,2043,watchingTV
1366649099388,1366649100686,1298,watchingTV
1366649259739,1366649261019,1280,watchingTV
1366649402548,1366649406029,3481,watchingTV
1366649422193,1366649425111,2918,watchingTV
1366650216230,1366650320767,104537,basketball
1366650325199,1366650330440,5241,inBed
1366650333704,1366650516638,182934,bicycling
1366650529197,1366650537111,7914,watchingTV
1366650560100,1366650580807,20707,bicycling
1366650595261,1366650605837,10576,watchingTV
1366650605872,1366650609788,3916,watchingTV
1366650748029,1366650757302,9273,basketball
1366651024340,1366651039828,15488,running
1366654831371,1366654832244,873,watchingTV
1366654955159,1366654957723,2564,watchingTV
1366654958477,1366654999837,41360,basketball
1366655319156,1366655321560,2404,basketball
1366655552900,1366655559295,6395,basketball
1366655684289,1366655685556,1267,watchingTV
1366655704502,1366655705772,1270,watchingTV
1366655705811,1366655714770,8959,bicycling
1366655850576,1366655851516,940,watchingTV
1366655862885,1366655868987,6102,bicycling
1366656175763,1366656177051,1288,watchingTV
1366656796742,1366656802715,5973,basketball
1366656901078,1366656910119,9041,basketball
1366661328536,1366661335452,6916,watchingTV
1366661335495,1366661339255,3760,watchingTV
1366661639284,1366661691735,52451,bicycling
1366661704295,1366661710133,5838,bicycling
1366662047831,1366662094108,46277,basketball
1366662373208,1366662383663,10455,running
1366662509934,1366664548270,2038336,bicycling
1366664553803,1366669041222,4487419,bicycling
1366841326986,1366841397350,70364,running
1366841399646,1366841402664,3018,watchingTV
1366841496136,1366841497591,1455,bicycling
1366841498384,1366841499959,1575,bicycling
1366841537619,1366841549497,11878,running
1366841589949,1366841596965,7016,bicycling
1368038179133,1368038210884,31751,bicycling
1368038217417,1368038218321,904,bicycling
1368038218998,1368038221823,2825,bicycling
1368038223053,1368038223053,0,bicycling
1368038238604,1368038239300,696,bicycling
1368038239856,1368038255860,16004,basketball
1368038307495,1368038331868,24373,bicycling
1368038341225,1368038352716,11491,running
1368038358842,1368038383197,24355,bicycling
1368038553037,1368038601039,48002,running
1368038611499,1368038627176,15677,running
1368038677179,1368038678911,1732,basketball
1368038698450,1368038699831,1381,basketball
1368038704745,1368038705767,1022,bicycling
1368038706111,1368043869934,5163823,basketball
1368113744585,1368113861044,116459,onComputer
1368113896661,1368113902700,6039,videoGames
1368113906515,1368113908202,1687,onComputer
1368113909382,1368113911790,2408,onComputer
1368114279213,1368114289808,10595,watchingTV
1368114294856,1368114333849,38993,onComputer
1368114380825,1368114385226,4401,watchingTV
1368114435362,1368114438874,3512,watchingTV
1368114531202,1368114548020,16818,videoGames
1368114571951,1368114579416,7465,videoGames
1368114682580,1368114694887,12307,onComputer
1368114839584,1368114858772,19188,onComputer
1368114863044,1368114866614,3570,videoGames
1368114870002,1368114892598,22596,watchingTV
1368115499883,1368115534899,35016,watchingTV
1368115550914,1368115562638,11724,watchingTV
1368115899291,1368116096053,196762,onComputer
1368116099144,1368116192851,93707,watchingTV
1368116250037,1368116267512,17475,videoGames
1368116349460,1368116356525,7065,videoGames
1368116362757,1368116366844,4087,videoGames
1368116370239,1368116375722,5483,videoGames
1368116384191,1368116390393,6202,onComputer
1368116391480,1368116393266,1786,onComputer
1368116495746,1368116501398,5652,videoGames
1368117971134,1368117971953,819,watchingTV
1368119630052,1368119635075,5023,watchingTV
1368120194576,1368120199864,5288,watchingTV
1368120223437,1368120224224,787,onComputer
1368120224397,1368120232670,8273,videoGames
1368120232881,1368120234806,1925,onComputer
1368120246370,1368120248060,1690,videoGames
1368120327969,1368120340298,12329,onComputer
1368120385253,1368120390349,5096,videoGames
1368120431493,1368120436602,5109,videoGames
1368120546461,1368120552210,5749,watchingTV
1368120567941,1368120580786,12845,watchingTV
1368120605766,1368120606599,833,onComputer
1368127256412,1368127261475,5063,onComputer
1368127313324,1368127323960,10636,videoGames
1368128636600,1368128871465,234865,onComputer
1368132407573,1368132408801,1228,onComputer
1368132933534,1368132942123,8589,onComputer
1368132957765,1368132963715,5950,onComputer
1368132994082,1368134175708,1181626,watchingTV
1368134196669,1368134198421,1752,onComputer
1368134246805,1368134252217,5412,watchingTV
1368134382128,1368134387096,4968,videoGames
1368134391485,1368134396572,5087,watchingTV
1368134403328,1368134408421,5093,videoGames
1368134421105,1368134421627,522,watchingTV
1368136729391,1368136908931,179540,onComputer
1368136949921,1368136958189,8268,watchingTV
1368137161005,1368137172698,11693,watchingTV
1368207128427,1368207270672,142245,basketball
1368207271717,1368207273259,1542,basketball
1368277757358,1368277775861,18503,videoGames
1368277822334,1368277842422,20088,onComputer
1368277861185,1368277863726,2541,onComputer
1368277868292,1368277873926,5634,onComputer
1368280511731,1368280516868,5137,videoGames
1368283568270,1368283573425,5155,onComputer
1368285634634,1368285647497,12863,onComputer
1368285648490,1368285656601,8111,onComputer
1368285696017,1368285701095,5078,onComputer
1368285719378,1368285724538,5160,videoGames
1368285724710,1368285730060,5350,watchingTV
1368289426883,1368289433472,6589,videoGames
1368294509505,1368294514598,5093,onComputer
1368467241127,1368467320199,79072,onComputer
1368467323884,1368467358082,34198,videoGames
1368467497258,1368467611521,114263,onComputer
1368668241127,1368668320199,79072,onComputer
1368668323884,1368668358082,34198,videoGames
1368668497258,1368668611521,114263,onComputer
1368869241127,1368869320199,79072,onComputer
1368869323884,1368869358082,34198,videoGames
1368869497258,1368869611521,114263,onComputer
